#z (nm),TMC1 LJ (kJ/mol),TMC1 Coul (kJ/mol),TCq1 LJ (kJ/mol),TCq1 Coul (kJ/mol),TMC2 LJ (kJ/mol),TMC2 Coul (kJ/mol),TCq2 LJ (kJ/mol),TCq2 Coul (kJ/mol),TMC3 LJ (kJ/mol),TMC3 Coul (kJ/mol),MPD1 LJ (kJ/mol),MPD1 Coul (kJ/mol),MPD2 LJ (kJ/mol),MPD2 Coul (kJ/mol),SOL LJ (kJ/mol),SOL Coul (kJ/mol),SOD LJ (kJ/mol),SOD Coul (kJ/mol)
-1.5,0.0,0.0,-0.077,-0.357,0.303,-2.62,-0.356,-0.759,-1.953,-3.546,-0.477,-1.655,-2.767,-8.181,13.695,-107.921,1.032,-9.783
-1.4,0.0,0.0,-0.065,1.17,0.593,-3.972,-0.256,2.529,-2.277,-3.468,-0.614,-1.104,-2.996,-11.936,11.935,-96.21,1.915,-22.061
-1.3,0.0,0.0,-0.129,1.183,-0.149,-0.719,-0.218,1.134,-2.34,-2.15,-0.555,-1.544,-3.121,-11.561,13.325,-101.365,1.418,-16.591
-1.2,0.0,0.0,-0.094,-0.853,-0.299,-0.53,-0.277,0.267,-2.534,-5.056,-0.851,-1.431,-2.832,-4.64,14.898,-110.487,0.983,-11.839
-1.1,0.0,0.0,-0.053,-1.641,-0.21,-1.062,-0.37,-0.392,-2.029,-6.262,-0.772,-1.721,-3.265,-5.449,14.959,-111.076,0.69,-7.608
-1.0,0.0,0.0,-0.065,-1.476,-0.03,-3.239,-0.373,-0.675,-1.453,-4.984,-0.702,-1.467,-2.949,-4.388,14.783,-110.38,0.618,-5.912
-0.9,0.0,0.0,-0.03,-1.401,0.905,-7.372,-0.376,-0.326,-1.518,-3.992,-0.315,-1.05,-3.035,-4.129,14.291,-110.774,0.544,-5.78
-0.8,0.0,0.0,-0.081,-0.949,-0.285,-1.454,-0.421,-1.202,-1.952,-2.751,-0.274,-0.614,-3.647,-5.051,15.297,-117.117,0.469,-4.877
-0.7,0.0,0.0,-0.128,-0.855,-0.384,-1.492,-0.322,-1.289,-1.954,-2.402,-0.194,-0.275,-3.824,-4.704,14.927,-114.33,0.761,-8.202
-0.6,0.0,0.0,-0.19,-0.267,-0.19,-3.926,-0.421,-1.086,-1.517,-1.52,-0.221,-0.233,-2.924,-7.716,13.3,-104.347,1.113,-12.49
-0.5,0.0,0.0,-0.042,-0.822,-0.542,-0.699,-0.355,-1.352,-1.919,-3.058,-0.296,-0.424,-3.073,-5.714,14.297,-112.139,0.856,-8.332
-0.4,0.0,0.0,-0.022,-0.467,-0.33,-0.818,-0.327,-0.819,-2.163,-4.569,-0.301,-0.83,-3.276,-5.701,15.061,-114.303,0.614,-6.225
-0.3,0.0,0.0,-0.055,-0.441,-0.187,-1.62,-0.435,-1.792,-1.868,-5.132,-0.363,-0.922,-3.248,-6.367,15.061,-111.856,0.799,-8.069
